recordedBy,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimElevation,coordinateUncertaintyInMeters,verbatimLocality,habitat,verbatimIdentification,individualCount,occurrenceID,occurrenceRemarks,associatedMedia,vernacularName,scientificName
"Sanath, Vijay",16/05/2022,18:45:00+05:30,12.9276969,75.6535336,851.5184838,8,doraigundi,Edge,malabar_pit_Viper,1,urn:ncf:arp:mammals:uuid:ad59af22-5b51-4374-9129-d8094c6de7bd:1,NA,https://zenodo.org/record/13340613/files/1fcYjrTdQYu7BqW9whBLFZR9dua4fz2Hv.jpg,Malabar pit viper,Craspedocephalus malabaricus
"Sanath, Vijay, Orvill",16/05/2022,18:48:00+05:30,12.9277477,75.6534381,871.0234412,12,doraigundi,Edge,Wild_pig,1,urn:ncf:arp:mammals:uuid:c52736b4-532d-4e8b-9183-5fa187352ddd:2,NA,NA,Wild pig,Sus scrofa
"Sanath, Ranjith",16/05/2022,18:49:00+05:30,12.9277108,75.6535083,863.1407363,12,doraigundi,Edge,Duttaphrynus_parietalis,1,urn:ncf:arp:mammals:uuid:c648973a-a724-4c8f-821e-47cb00503519:3,NA,NA,Ridged toad,Duttaphrynus parietalis
"Sanath, Vijay, Sanjay",23/06/2022,10:22:00+05:30,12.9190108,75.6488546,871.6328537,6.774000168,bungalow_mattam,Rainforest,Malabar_Giant_Squirrel,1,urn:ncf:arp:mammals:uuid:afb131c3-66a3-4563-8788-d82090d8129e:4,NA,NA,Malabar giant squirrel,Ratufa indica
"Sanath, Vijay Kumar",11/08/2022,19:20:00+05:30,12.9085519,75.6626966,918.7132646,6,kt_vg_road,Road,Mouse_Deer,1,urn:ncf:arp:mammals:uuid:392529c3-27b4-4e59-a90a-3fe47a933e77:5,"Observers:Sanath, Vijay Kumar | timestamp:11Aug2022_19:20 | Total_count | Sighting | Near cinnadorai",NA,Indian spotted chevrotain,Moschiola indica
"Sanath, Vijay, Ranjith, Manu, Gowtham",19/08/2022,10:32:00+05:30,12.9285055,75.6556742,858.2277861,8.571000099,terfc_fieldstation,Road,Barking_Deer,1,urn:ncf:arp:mammals:uuid:50b3c8ec-1138-4711-9e3c-08bceea6a681:6,NA,NA,Indian muntjac,Muntiacus muntjac
"Sanath, Ranjith, Vijay, Gowtham",02/09/2022,10:25:00+05:30,12.9308058,75.6593755,888.144045,8,terfc_fieldstation,Road,nilgiri_keelback,1,urn:ncf:arp:mammals:uuid:007e9414-3114-4c2a-90a6-83e88aaf4975:7,"Observers:Sanath, Ranjith, Vijay, Gowtham | timestamp:02Sept2022_10:25 | Total_count | Roadkill | Mostly our own vehicle:/",https://zenodo.org/record/13340613/files/1-s0wMqyal1y91-z8uN6uM_iSVSYhEMK_.jpg,Nilgiri keelback,Amphiesma beddomei
"Sanath, Vijay",03/09/2022,20:20:00+05:30,12.907817,75.6628429,915.0529687,6,sinnadorai,Road,Black_Naped_Hare,2,urn:ncf:arp:mammals:uuid:6d202e59-4fa4-4f0b-8e67-b11700f419ea:8,NA,NA,Indian hare,Lepus nigricollis
"Sanath, Vijay kumar",08/09/2022,18:35:00+05:30,12.9196935,75.6483495,888.0691609,12.15799999,bungalow_mattam,Road,Sambar,2,urn:ncf:arp:mammals:uuid:c7c4f24f-95af-40ff-b53e-868b0d4837f9:9,NA,NA,Sambar,Rusa unicolor
"Ranjith, Gowtham",19/05/2022,18:50:00+05:30,12.911685,75.659637,NA,1000,kdm_kt_road,Tea_Plantation,Stripe_necked_Mongoose,1,urn:ncf:arp:mammals:uuid:623b597f-0bcb-48cd-aec4-2ed7ccb6c84d:10,NA,NA,Stripe-necked mongoose,Herpestes vitticollis
