place,lat,long,GPSaccuracy
kdm_kt_road,12.911685,75.659637,1000
factory,12.914203,75.668728,500
LEMoN_plot,12.937414,75.663012,500
akki_road,12.908652,75.660356,1000
sinnadorai banglow,12.907511,75.66409,500
sinnadorai,12.907511,75.66409,500
vg_temple,12.93117,75.656761,1000
field-27,12.930922,75.646684,500
field_27,12.930922,75.646684,500
field_26,12.92794,75.648607,500
agm_bungalow,12.919809,75.671137,500
terfc_fieldstation,12.932079,75.655302,500
mg_lines,12.915098,75.671549,500
doraigundi,12.925535,75.653651,1000
kt_vg_road,12.928473,75.650986,1000
bungalow_mattam,12.919185,75.650272,500
mh_lines,12.884422,75.671302,500
orange_mattam,12.91513,75.649561,1000
kt_lines,12.911993,75.65128,500
mg_dam,12.933265,75.670208,500
suzlon_tower,12.924288,75.663767,1000
abandoned_coffee,12.89032,75.671407,1000
5_acre,12.89454,75.655339,1000
harley,12.934909,75.724683,1000
nursery,12.927662,75.658181,1000
north_East,12.934666,75.676466,1000
